YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
4,3,3,2,1,0,0,1,3,3,0,0,7,1,1,2,4,3,12,0,0,7,3,2,2,2,12,12,0,0,0,0,2,0,0,0,0,4,0,1,4,1,0,0,0,1,0,23.5,0,7,3,1,0,0,1,1,0,1,2,2,77,1,72500,0,720,720,720,13733,0.43
1,2,5,2,1,0,1,0,9,2,1,0,7,0,1,1,4,3,3,0,0,3,3,1,3,2,4,8,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,29,0,12,2,1,0,1,0,0,1,1,6,1,61,0,67500,0,1312,797,0,1877,0.43
1,3,5,3,2,0,0,1,6,3,1,0,10,1,1,2,3,4,12,1,0,13,3,4,3,3,4,4,2,2,2,0,2,1,0,0,0,12,1,0,12,1,1,5,3,1,0,21,1,30,2,1,0,1,0,1,1,1,3,4,16.25,0,110000,0,3912,2958,2934,16157,0.62
1,2,5,3,1,1,0,1,1,4,0,0,7,1,0,1,3,5,3,0,0,3,0,1,2,2,8,12,1,5,0,0,0,1,0,0,1,7,0,0,0,0,0,2,2,1,0,0,0,18,2,1,0,0,0,1,2,2,3,2,40,0,37500,0,2394,1616,228,4431,0.55
1,3,5,3,1,1,0,1,16,2,1,0,10,1,1,1,4,3,7,0,0,3,3,2,2,1,4,4,2,1,10,0,2,0,1,0,0,5,0,0,3,1,1,3,1,0,0,12.5,0,12,2,0,0,1,0,1,2,1,3,4,13.25,0,12500,1,2111,1727,1036,16449,0.57
4,2,3,3,2,0,0,1,6,2,0,0,5,1,1,2,3,4,7,2,5,3,3,1,3,4,12,12,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,6,3,1,0,10,0,4,2,0,0,1,1,1,1,1,3,2,57,0,72500,0,3000,1286,857,15173,0.41
6,1,5,3,2,0,0,1,1,4,0,0,7,1,1,1,1,3,17,1,2,3,3,1,2,1,8,4,1,1,0,0,2,1,0,0,1,5,0,1,5,3,0,5,2,1,0,50.5,0,7,2,0,0,1,1,1,0,1,3,1,70,1,22500,0,1125,1125,1125,13835,0.45
2,3,6,3,1,0,0,1,6,0,0,0,5,1,1,1,4,4,3,0,1,13,3,3,2,1,8,4,1,5,0,0,0,1,0,0,0,7,0,0,7,1,0,4,3,0,0,21,1,12,3,0,0,0,0,1,0,1,6,2,78.5,1,27500,0,2475,1411,1411,4904,0.58
3,1,6,3,1,1,0,0,9,0,0,0,7,0,1,1,4,4,2,0,8,3,3,1,2,1,4,1,1,10,0,0,2,1,0,0,1,5,0,0,0,0,0,0,0,0,0,30.5,0,12,2,1,0,1,0,0,0,1,5,1,35,0,22500,0,2106,2106,421,5582,0.58
6,3,5,3,2,1,1,1,6,2,0,1,7,1,1,1,3,3,17,0,5,7,3,3,3,3,8,8,2,2,2,0,2,1,1,0,1,6,0,0,6,3,1,3,3,1,0,31.5,0,22,4,1,0,1,0,1,1,1,4,4,28.5,0,87500,0,3080,2680,2680,13975,0.4
